Residual 	 Iterations
8.815158643073566e-08 	 456
9.255886945700758e-08 	 488
9.604045261732523e-08 	 258
8.012021683240534e-08 	 309
8.259319813715101e-08 	 285
8.650912813665417e-08 	 467
8.927493854479354e-08 	 406
8.598566578330562e-08 	 347
8.611765900077633e-08 	 303
7.673806557663412e-08 	 75
8.360280736142225e-08 	 153
7.876517303498021e-08 	 289
7.950460785590282e-08 	 365
8.229215451732533e-08 	 311
8.441954986958076e-08 	 349
8.092014726249254e-08 	 342
8.09717406208003e-08 	 399
9.797857987099686e-08 	 437
1.0136819147857428e-07 	 384
7.944894921233358e-08 	 125
8.531445089438138e-08 	 432
9.096776244692428e-08 	 492
9.443312642502834e-08 	 413
7.772472120416393e-08 	 218
8.292727323118624e-08 	 317
9.396988066485719e-08 	 231
8.077760397062315e-08 	 428
7.957794369068611e-08 	 434
8.250578329154218e-08 	 385
9.493966498002866e-08 	 126
9.182587963290432e-08 	 286
8.841430496116578e-08 	 207
8.76748805476495e-08 	 496
8.841831328739186e-08 	 484
9.791844286474977e-08 	 436
1.1330145306082631e-07 	 368
8.609907238517695e-08 	 415
9.447387724056967e-08 	 466
8.651845369677998e-08 	 488
8.557240834867682e-08 	 467
8.37725282423233e-08 	 368
1.0603086265725583e-07 	 368
9.403778631970962e-08 	 364
9.719886661217345e-08 	 439
9.344475350682791e-08 	 430
9.678015115685662e-08 	 73
1.030546045676437e-07 	 410
9.074643880462625e-08 	 363
9.29186760045173e-08 	 408
8.617211364128686e-08 	 365
8.782804698510107e-08 	 285
8.803534382135739e-08 	 400
8.845079094011735e-08 	 403
9.271734570504737e-08 	 388
1.0697148469027937e-07 	 480
9.815159003454846e-08 	 419
9.808452545756428e-08 	 401
8.973358604179126e-08 	 393
8.935834278989412e-08 	 467
9.613780788628587e-08 	 396
9.599518754704606e-08 	 316
8.35881387351605e-08 	 440
9.499783584035563e-08 	 353
8.393747930255471e-08 	 374
8.48763307873231e-08 	 447
9.691910199772334e-08 	 498
9.209126129325713e-08 	 438
9.235181550454804e-08 	 450
9.364856610078226e-08 	 404
8.392807883002078e-08 	 402
8.211175112578988e-08 	 83
1.0307448469130116e-07 	 495
9.224941003510576e-08 	 385
1.052160959246726e-07 	 498
1.0157305007424998e-07 	 342
8.942395435728188e-08 	 107
9.661612596401491e-08 	 214
1.0216273299244081e-07 	 466
1.1348922448748127e-07 	 182
1.0938857655549577e-07 	 499
1.2485866428264395e-07 	 403
0.0009414455713035999 	 155
1.0586750592673996e-07 	 346
8.115945178843481e-08 	 320
8.503030561549682e-08 	 397
1.227669496538301e-07 	 388
1.1369842152163514e-07 	 400
9.75837398364945e-08 	 303
9.407947297685048e-08 	 387
1.1284731575286975e-07 	 388
9.605428982204845e-08 	 448
1.06991252127623e-07 	 338
1.081217187514323e-07 	 469
1.2778102232196453e-07 	 485
9.795920438367696e-08 	 438
8.437308385355001e-08 	 393
9.097697058464425e-08 	 324
7.493708333560765e-08 	 56
7.581164365216124e-08 	 54
7.569063123361047e-08 	 159
7.57748452711272e-08 	 47
7.786107803498109e-08 	 266
8.781355191189973e-08 	 439
9.04966925936341e-08 	 296
8.09277396489495e-08 	 498
8.400875328884477e-08 	 442
8.062970409143353e-08 	 404
8.179285376077492e-08 	 339
8.581468047138464e-08 	 444
8.643190234681291e-08 	 495
9.100167244007006e-08 	 499
9.671873355606096e-08 	 302
1.0645043923144607e-07 	 484
1.0411116793899782e-07 	 443
9.721626024996856e-08 	 498
8.67751021591634e-08 	 201
9.909432352154768e-08 	 488
1.1151403436783865e-07 	 393
8.853532488696077e-08 	 308
1.0640262151026292e-07 	 334
9.661200112332396e-08 	 467
8.35405598339681e-08 	 254
9.323755552399973e-08 	 247
9.21396113363452e-08 	 484
9.367980007520463e-08 	 250
9.099675527369034e-08 	 320
8.893142692252373e-08 	 466
9.87563936477769e-08 	 493
8.433383338426271e-08 	 305
1.078871039253693e-07 	 438
1.204222606806625e-07 	 357
1.0532411935320213e-07 	 496
8.95998215125837e-08 	 463
9.72439010839278e-08 	 495
1.0026830367266781e-07 	 252
1.1898431495846269e-07 	 460
1.1031391321459658e-07 	 499
1.316374189679058e-07 	 251
1.2429325335864744e-07 	 499
1.3342744822159203e-07 	 500
1.1850859928488522e-07 	 415
1.0764580015861961e-07 	 500
1.1052938310883653e-07 	 359
1.1782960444448459e-07 	 406
1.1114902336473666e-07 	 480
1.1979222574183748e-07 	 297
1.1715420344481915e-07 	 395
9.252553708340726e-08 	 424
7.795697822642295e-08 	 88
8.733050137629429e-08 	 307
9.021109174285147e-08 	 306
8.035020336223115e-08 	 88
8.123209375367192e-08 	 105
9.010012916946622e-08 	 288
8.746861150380806e-08 	 227
1.032923249647981e-07 	 459
8.360141557548176e-08 	 288
8.85114987937413e-08 	 437
9.097750063223435e-08 	 260
1.016312229787144e-07 	 488
9.794148236333708e-08 	 320
9.925414056330441e-08 	 448
9.690449140644893e-08 	 477
8.780064739092001e-08 	 153
1.1903354855433713e-07 	 349
1.2482702719623895e-07 	 492
1.0174199191493624e-07 	 462
1.0206117871098798e-07 	 301
1.0675688091977285e-07 	 368
1.0589493824279375e-07 	 486
1.0579336754946898e-07 	 474
1.1167071157156237e-07 	 466
9.853186975887999e-08 	 457
1.1086962180216192e-07 	 396
1.19641716221943e-07 	 484
1.2695635165986807e-07 	 319
1.7160699673541817e-07 	 393
1.7890303518721346e-07 	 422
1.6084093744196815e-07 	 486
1.284260703761102e-07 	 478
1.295356865861789e-07 	 443
1.278129909096035e-07 	 428
1.2875725539467306e-07 	 282
1.0941763843578255e-07 	 109
1.1200573835641616e-07 	 273
1.0405104316115079e-07 	 383
9.220134086428532e-08 	 257
9.785427579583456e-08 	 500
1.0608378588836375e-07 	 365
8.80691594282849e-08 	 243
1.0955011739414546e-07 	 366
1.0769710053640898e-07 	 345
1.2963277722707285e-07 	 316
9.230394604887473e-08 	 173
1.1852516122555344e-07 	 157
1.1134337719819149e-07 	 405
8.608949430360157e-08 	 266
1.0738773712948364e-07 	 454
1.10656932403056e-07 	 463
9.001321597677269e-08 	 117
8.584527292958669e-08 	 149
8.506444799261563e-08 	 396
8.704098934680125e-08 	 135
9.143610775859353e-08 	 443
8.375945520676938e-08 	 335
1.2731544636563302e-07 	 361
1.0046913024855563e-07 	 413
1.3633687408833344e-07 	 139
1.0655097798546424e-07 	 425
1.3961412297110622e-07 	 458
1.5204478233057622e-07 	 478
9.017067232512723e-08 	 387
9.707118860092116e-08 	 392
8.633019354748886e-08 	 373
8.892054337232272e-08 	 445
1.2026719110885952e-07 	 364
1.1101134977446783e-07 	 438
1.0015662108812903e-07 	 435
1.079270380368838e-07 	 251
1.0070932513125018e-07 	 444
8.4385807057412e-08 	 265
1.0556304318508618e-07 	 460
8.926031115995797e-08 	 419
1.1224344924820314e-07 	 489
1.0054812076096171e-07 	 485
7.956771844785156e-08 	 88
1.1771249760998874e-07 	 289
1.1270939546139676e-07 	 379
1.3243364494670727e-07 	 384
1.0345925269353018e-07 	 364
1.1132666603447128e-07 	 498
2.0689439616591844e-07 	 294
2.0709008267204382e-07 	 291
1.700346410853944e-07 	 242
2.09921593686796e-07 	 208
9.301289093384457e-08 	 494
8.500244932399754e-08 	 296
8.120362448328538e-08 	 137
8.640217476390522e-08 	 275
8.164845300444841e-08 	 410
8.627972087069454e-08 	 428
8.453093594577783e-08 	 433
8.041893786185496e-08 	 153
7.702671791264167e-08 	 96
8.047797089167068e-08 	 244
9.297504801356793e-08 	 438
9.227329394136783e-08 	 356
1.0830114261574316e-07 	 471
9.239919940071629e-08 	 186
9.909015424519773e-08 	 461
1.0824916850764874e-07 	 416
9.292728771793146e-08 	 452
8.77178344185777e-08 	 84
1.0165011601471639e-07 	 372
8.181674670298365e-08 	 306
8.964739059981891e-08 	 410
9.998104988871182e-08 	 477
1.210881762654531e-07 	 422
8.851945633518669e-08 	 463
7.978751793279716e-08 	 393
8.921657493161444e-08 	 182
8.22552964407837e-08 	 480
9.64381792431747e-08 	 302
9.035713677879274e-08 	 174
